"Group","SampID","Type..sediment.or.soil.","Easting","Northing","Depth_upper_cm","Depth_lower_cm","pH","EC","Sample.ID","Group.1","Sample","ICP.Sample.ID","weight","volume","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","S","Sr","Th","V","Y","Zn","Longitude","Latitude"
3,"6","Sediment",400123,6468034,NA,"",7.34,2620,"Group 5 Sample 1",5,"1","ENVT 3361_AR dig_29",0.331,20,27240.051,26.721,58.311,3681.144,1.602,49.166,26.864,41.615,1007.772,55534.614,4.315,1720.842,23.634,19.363,3492.29,1399.189,3.516,10260.489,20.253,19.396,1453.346,241.444,2178.804,54.247,8.633,53.511,11.533,724.767,115.943552949976,-31.9191949781507
3,"7","Sediment",400133,6468045,NA,"",7.17,4250,"Group 5 Sample 2",5,"2","ENVT 3361_AR dig_30",0.382,20,44378.525,4.938,76.782,2811.217,0.175,168.132,9.51,66.114,97.683,32988.074,9.927,2917.664,75.609,39.078,3912.733,64.756,1.043,7626.122,58.902,25.04,374.241,44.295,1624.174,54.669,18.443,70.568,38.002,203.057,115.943659843555,-31.9190966332976
4,"4-Jan","Sediment ",400375,6468287,0,"10-15",6.9,215.8,"Group 5 Sample 3",5,"3","ENVT 3361_AR dig_31",0.3,20,44313.176,3.815,72.02,4825.011,0.285,189.593,14.19,65.647,225.439,46019.207,12.041,2867.925,88.651,43.663,4598.458,94.508,1.29,10097.499,69.082,30.579,803.877,63.631,3212.239,75.182,16.509,78.55,47.855,320.277,115.94624410987,-31.9169349521831
4,"4-Feb","Sediment ",400365,6468278,0,"10-15",6.8,1010,"Group 5 Sample 4",5,"4","ENVT 3361_AR dig_32",0.35,20,48376.026,5.166,59.031,4149.843,0.262,145.92,13.337,66.535,192.784,34992.259,9.19,3117.988,69.075,41.253,4835.035,83.714,1.643,13074.162,53.866,34.69,579.798,53.343,3110.025,63.498,17.397,67.574,33.718,332.989,115.946137427253,-31.9170152585556
4,"4-Mar","Sediment ",400342,6468255,0,"10-15",5.43,543.4,"Group 5 Sample 5",5,"5","ENVT 3361_AR dig_33",0.36,20,44877.876,6.765,59.979,3940.401,0.276,187.838,14.139,64.875,213.035,37554.495,11.426,3060.374,90.587,45.932,5222.953,87.589,1.405,14116.948,67.208,33.283,525.032,47.746,3106.577,68.758,16.594,70.888,46.983,286.107,115.945891819912,-31.9172207097725
4,"4-Apr","Sediment ",400326,6468241,0,"10-15",6.6,470,"Group 5 Sample 6",5,"6","ENVT 3361_AR dig_34",0.324,20,44974.528,3.089,57.912,4490.458,0.29,221.13,15.175,62.763,179.683,43310.28,13.636,2994.697,104.338,51.627,5385.763,96.707,1.64,14572.787,80.273,32.593,461.837,44.622,3486.832,74.584,14.384,73.105,56.939,340.471,115.94572116778,-31.9173455912626
4,"4-May","Sediment ",400303,6468218,0,"10-15",7,1385,"Group 5 Sample 7",5,"7","ENVT 3361_AR dig_35",0.305,20,50293.486,4.815,58.872,2433.839,0.196,186.692,12.538,69.991,92.494,46871.501,11.718,2902.489,93.064,54.701,4573.208,83.556,3.516,10558.743,67.849,31.063,419.337,29.387,1714.446,56.675,17.385,81.779,48.84,206.635,115.945475558638,-31.9175510416254
4,"4-Jun","Sediment ",400271,6468185,0,"10-15",6.64,902,"Group 5 Sample 8",5,"8","ENVT 3361_AR dig_36",0.378,20,42915.063,3.482,53.2,3852.116,0.143,179.228,12.566,61.431,92.727,48185.98,11.976,2881.647,86.092,44.569,4833.514,88.782,4.521,12570.501,67.597,29.867,426.638,30.67,3240.052,68.05,15.2,78.29,47.598,197.725,115.9451337368,-31.9178459051649
4,"4-Jul","Sediment ",400220,6468133,0,"10-15",6,1860,"Group 5 Sample 9",5,"9","ENVT 3361_AR dig_37",0.312,20,38688.039,6.975,64.297,8266.204,0.273,111.876,18.722,50.054,82.292,92815.944,9.602,2560.446,52.005,36.83,6033.788,167.21,6.896,15902.257,46.265,25.421,364.727,24.793,6998.403,114.66,11.946,67.881,31.812,322.736,115.944589014898,-31.918310486046
4,"4-Aug","Sediment ",400188,6468103,0,"10-15",6.18,2268,"Group 2 Sample 1",2,"1","ENVT 3361_AR dig_38",0.299,20,4114.013,1.656,9.416,2304.196,0.059,4.578,9.712,4.078,NA,9255.499,0.656,435.465,3.244,3.031,1773.421,22.121,0.47,10234.269,2.048,3.836,283.878,9.636,10265.641,26.807,1.042,6.046,1.14,1259.385,115.944247496555,-31.9185782858654
