Year,SampID,Type,DepthType,Longitude,Latitude,As,Co,Cr,Cu,Mn,Ni,Pb,Zn
"""2019""",2019_8_5,Saltmarsh,Core,115.9440076,-31.92013697,2.11,5.8,49.4,24.1,81,18.1,23.2,16.8
"""2019""",2019_8_6,Saltmarsh,Core,115.9440076,-31.92013697,0.97,5.8,49.4,22.4,76,15.2,22.6,43.2
"""2019""",2019_8_7,Saltmarsh,Core,115.9440076,-31.92013697,3.74,6.4,56.1,20.3,102,19.3,22.3,18.2
"""2019""",2019_8_8,Saltmarsh,Core,115.9440076,-31.92013697,3.29,6.8,54.4,21.9,86,19.4,23.3,21.6
"""2019""",2019_8_9,Saltmarsh,Core,115.9440076,-31.92013697,1.33,9,59.2,23.7,153,18.9,25.2,18.6
"""2019""",2019_8_10,Saltmarsh,Core,115.9440076,-31.92013697,1.45,6.6,60.1,23,74,18.9,20.7,14.4
"""2019""",2019_8_11,Saltmarsh,Core,115.9440076,-31.92013697,1.11,7.4,62,25.7,73,20.8,23.8,35.7
"""2019""",2019_9_1,Saltmarsh,Surface,115.944128,-31.91977712,4.26,17.4,77.2,44.1,600,31.6,42.6,62.6
"""2019""",2019_9_2,Saltmarsh,Core,115.944128,-31.91977712,2.26,14.1,69.8,33.9,442,27,35.9,36.9
"""2019""",2019_9_3,Saltmarsh,Core,115.944128,-31.91977712,1.67,13.6,70.5,30.6,336,23.8,42.8,19.5
"""2019""",2019_9_4,Saltmarsh,Core,115.944128,-31.91977712,NA,18.5,75.1,28.9,409,26.8,49,16.3
"""2019""",2019_9_5,Saltmarsh,Core,115.944128,-31.91977712,2.39,16.7,74.4,28.2,382,27.9,43.1,14.4
"""2019""",2019_9_6,Saltmarsh,Core,115.944128,-31.91977712,2.01,8.2,61.3,20.8,178,19.8,21.5,11.2
"""2019""",2019_9_7,Saltmarsh,Core,115.944128,-31.91977712,1.62,3,32.8,11,80,11.3,9.3,NA
"""2019""",2019_9_8,Saltmarsh,Core,115.944128,-31.91977712,NA,1.8,16.6,NA,61,5.7,4.7,NA
"""2019""",2019_9_9,Saltmarsh,Core,115.944128,-31.91977712,1.24,2.2,24.2,7.1,68,6.3,5.3,NA
"""2019""",2019_9_10,Saltmarsh,Core,115.944128,-31.91977712,1.44,2.8,25.5,8.9,68,6.7,10.1,NA
"""2019""",2019_10_1,Saltmarsh,Surface,115.9446782,-31.91883446,2.24,11.9,79.8,170.8,93,29.2,60.6,210.9
"""2019""",2019_10_2,Saltmarsh,Core,115.9446782,-31.91883446,1.85,15.8,69.1,176.2,148,29.1,53.8,246.6
"""2019""",2019_10_3,Saltmarsh,Core,115.9446782,-31.91883446,2.7,11.2,66.8,61.4,117,24.5,47.2,114.3
"""2019""",2019_10_4,Saltmarsh,Core,115.9446782,-31.91883446,5.95,11.2,69.5,61,115,25,47.4,116.4
"""2019""",2019_10_5,Saltmarsh,Core,115.9446782,-31.91883446,4.71,8.9,63.1,88.2,71,19.7,38.8,114.1
"""2019""",2019_10_6,Saltmarsh,Core,115.9446782,-31.91883446,NA,3.9,41.2,32,48,13,15.2,39.1
"""2019""",2019_10_7,Saltmarsh,Core,115.9446782,-31.91883446,1.28,2.3,24.8,20.8,41,5.7,7.9,20.7
"""2020""",2020_4_1,Lake_Sed,Surface,115.9445969,-31.91761592,9,12,84,212,68,29,46,208
"""2020""",2020_4_2,Lake_Sed,Surface,115.9446524,-31.91739085,7,14,77,161,74,28,39,305
"""2020""",2020_4_3,Lake_Sed,Surface,115.9448079,-31.91766278,7,12,76,202,75,26,51,262
"""2020""",2020_4_4,Lake_Sed,Surface,115.9448088,-31.91759061,7,11,73,184,76,24,51,227
"""2020""",2020_4_5,Lake_Sed,Surface,115.9448096,-31.91751845,7,15,70,198,84,25,42,310
"""2020""",2020_4_6,Lake_Sed,Surface,115.9448104,-31.91744629,9,17,69,278,105,27,50,353
"""2020""",2020_4_7,Lake_Sed,Surface,115.9448112,-31.91737412,7,15,71,230,89,27,48,303
"""2020""",2020_4_8,Lake_Sed,Surface,115.9448121,-31.91730196,7,14,74,138,81,27,40,246
"""2020""",2020_5_1,Lake_Sed,Surface,115.9448129,-31.9172298,6,11,70,113,73,27,41,175
"""2020""",2020_5_2,Lake_Sed,Surface,115.9448137,-31.91715763,7,12,73,108,79,28,36,172
"""2020""",2020_5_3,Lake_Sed,Surface,115.9448145,-31.91708547,10,15,60,83,90,25,27,225
"""2020""",2020_5_4,Lake_Sed,Surface,115.9448154,-31.91701331,15,24,56,104,134,24,28,472
"""2020""",2020_5_5,Lake_Sed,Surface,115.94502,-31.91761943,8,11,77,249,69,27,64,309
"""2020""",2020_5_6,Lake_Sed,Surface,115.9450208,-31.91754727,9,16,77,282,115,31,65,532
"""2020""",2020_5_7,Lake_Sed,Surface,115.9450216,-31.9174751,7,16,66,245,105,24,52,358
"""2020""",2020_5_8,Lake_Sed,Surface,115.9450224,-31.91740294,7,17,77,148,92,30,45,315
"""2020""",2020_6_1,Lake_Sed,Surface,115.9450233,-31.91733078,6,15,72,203,98,29,48,294
"""2020""",2020_6_2,Lake_Sed,Surface,115.9450241,-31.91725861,6,15,70,176,98,29,50,294
"""2020""",2020_6_3,Lake_Sed,Surface,115.9450249,-31.91718645,7,19,73,188,124,31,41,351
"""2020""",2020_6_4,Lake_Sed,Surface,115.9450257,-31.91711429,9,22,66,185,148,31,42,394
"""2020""",2020_6_5,Lake_Sed,Surface,115.9452323,-31.91754902,8,12,61,300,66,22,60,319
"""2020""",2020_6_6,Lake_Sed,Surface,115.9452331,-31.91747686,8,12,65,260,76,23,62,269
"""2020""",2020_6_7,Lake_Sed,Surface,115.945234,-31.9174047,8,19,68,224,125,31,50,445
"""2020""",2020_6_8,Lake_Sed,Surface,115.9452348,-31.91733253,7,16,65,251,95,28,52,313
"""2020""",2020_6_9,Lake_Sed,Surface,115.9452356,-31.91726037,8,18,65,188,134,30,47,364
"""2020""",2020_7_1,Lake_Sed,Surface,115.9452364,-31.91718821,7,11,67,327,78,26,72,283
"""2020""",2020_7_2,Lake_Sed,Surface,115.9452373,-31.91711604,9,18,65,240,123,31,57,401
"""2020""",2020_7_3,Lake_Sed,Surface,115.9454451,-31.91744253,6,12,62,191,79,26,49,245
"""2020""",2020_7_4,Lake_Sed,Surface,115.9454459,-31.91737037,6,13,72,169,83,27,57,303
"""2020""",2020_7_5,Lake_Sed,Surface,115.9454467,-31.91729821,7,16,70,179,102,31,61,330
"""2020""",2020_7_6,Lake_Sed,Surface,115.9454475,-31.91722604,9,16,66,264,113,31,71,331
"""2020""",2020_7_7,Lake_Sed,Surface,115.9454484,-31.91715388,9,24,61,311,106,34,58,509
"""2020""",2020_7_8,Lake_Sed,Surface,115.9456588,-31.91724584,22,27,57,541,99,31,164,812
"""2020""",2020_1_1,Lake_Sed,Surface,115.9424766,-31.91804935,8,9,39,20,60,10,18,417
"""2020""",2020_1_2,Lake_Sed,Surface,115.9425809,-31.91817651,10,9,32,14,92,10,25,254
"""2020""",2020_1_3,Lake_Sed,Surface,115.9425818,-31.91810435,7,10,34,26,55,9,22,452
"""2020""",2020_1_4,Lake_Sed,Surface,115.9425826,-31.91803219,13,51,38,43,95,17,33,3781
"""2020""",2020_1_5,Lake_Sed,Surface,115.9425834,-31.91796002,7,7,33,14,59,8,16,435
"""2020""",2020_1_6,Lake_Sed,Surface,115.9427386,-31.91826804,3,6,43,25,42,15,23,281
"""2020""",2020_1_7,Lake_Sed,Surface,115.9427394,-31.91819587,3,6,36,13,45,12,22,288
"""2020""",2020_1_8,Lake_Sed,Surface,115.9427402,-31.91812371,6,16,42,48,66,13,32,780
"""2020""",2020_2_1,Lake_Sed,Surface,115.942741,-31.91805155,4,9,52,30,70,17,28,439
"""2020""",2020_2_2,Lake_Sed,Surface,115.9427419,-31.91797938,5,3,50,13,495,11,7,76
"""2020""",2020_2_3,Lake_Sed,Surface,115.9427427,-31.91790722,9,14,58,21,66,17,44,615
"""2020""",2020_2_4,Lake_Sed,Surface,115.9427435,-31.91783506,8,21,51,28,87,17,43,1216
"""2020""",2020_2_5,Lake_Sed,Surface,115.9428995,-31.91807091,2,2,19,18,79,5,21,118
"""2020""",2020_2_6,Lake_Sed,Surface,115.9429003,-31.91799875,13,47,21,26,180,11,41,4227
"""2020""",2020_2_7,Lake_Sed,Surface,115.9429011,-31.91792658,9,110,19,25,215,17,39,7510
"""2020""",2020_2_8,Lake_Sed,Surface,115.9429019,-31.91785442,3,11,57,38,46,20,29,709
"""2020""",2020_2_9,Lake_Sed,Surface,115.9429028,-31.91778226,8,13,44,20,69,12,12,709
"""2020""",2020_3,Lake_Sed,Surface,115.9429036,-31.91771009,5,11,43,19,47,13,24,545
"""2020""",2020_3_1,Lake_Sed,Surface,115.9429044,-31.91763793,8,15,42,19,50,12,26,996
"""2020""",2020_3_2,Lake_Sed,Surface,115.9430627,-31.91766631,14,89,33,63,131,19,99,5808
"""2020""",2020_3_3,Lake_Sed,Surface,115.9430636,-31.91759415,13,45,30,39,166,16,56,3387
"""2020""",2020_8_1,Saltmarsh,Surface,115.9425574,-31.91877713,9,19,76,92,87,27,32,449
"""2020""",2020_8_2,Saltmarsh,Surface,115.9424189,-31.91877688,8,16,70,67,96,24,36,437
"""2020""",2020_8_3,Saltmarsh,Surface,115.9427037,-31.91877203,10,17,64,112,57,22,40,429
"""2020""",2020_8_4,Saltmarsh,Surface,115.9428421,-31.91880927,9,14,70,105,105,23,42,203
"""2020""",2020_8_5,Saltmarsh,Surface,115.9429272,-31.9188614,16,12,58,272,45,18,74,250
"""2020""",2020_8_6,Saltmarsh,Surface,115.9430399,-31.91886595,10,15,77,250,70,24,66,293
"""2020""",2020_8_7,Saltmarsh,Surface,115.943127,-31.91885585,51,24,31,233,289,13,75,607
"""2020""",2020_9_1,Saltmarsh,Surface,115.9432317,-31.91890633,43,14,27,152,130,13,52,588
"""2020""",2020_9_2,Saltmarsh,Surface,115.9433228,-31.91893506,38,28,31,179,693,17,70,715
"""2020""",2020_9_3,Saltmarsh,Surface,115.9433702,-31.91898868,24,75,45,156,3503,27,66,740
"""2020""",2020_9_4,Saltmarsh,Surface,115.9434177,-31.91907117,62,20,25,122,418,12,105,736
"""2020""",2020_9_5,Saltmarsh,Surface,115.9434395,-31.91915705,14,14,52,93,402,19,50,354
"""2020""",2020_9_6,Saltmarsh,Surface,115.9434295,-31.91923906,32,30,60,220,182,24,133,625
"""2020""",2020_9_7,Saltmarsh,Surface,115.9431745,-31.91879039,8,18,81,128,160,27,63,217
"""2020""",2020_10_1,Saltmarsh,Surface,115.9432497,-31.91874681,41,25,23,226,297,12,38,354
"""2020""",2020_10_2,Saltmarsh,Surface,115.9433485,-31.91867456,10,13,58,267,74,20,65,216
"""2020""",2020_10_3,Saltmarsh,Surface,115.9434177,-31.91858041,10,22,78,224,73,29,46,448
"""2020""",2020_10_4,Saltmarsh,Surface,115.94357,-31.91859972,9,22,73,173,95,27,42,493
"""2020""",2020_10_5,Saltmarsh,Surface,115.9436807,-31.91864755,10,16,72,357,74,25,72,254
"""2020""",2020_10_6,Saltmarsh,Surface,115.9430519,-31.91864503,14,36,17,169,126,15,36,367
"""2020""",2020_10_7,Saltmarsh,Surface,115.942947,-31.91852507,35,7,21,98,27,6,27,246
"""2021""",2021_5_1,Saltmarsh,Surface,115.9469346,-31.91667004,23.5,7.6,25.8,314,60.3,13,116.2,225.3
"""2021""",2021_5_2,Saltmarsh,Surface,115.9472734,-31.91663676,25.1,7.3,13.8,149,70,7,57.2,144.3
"""2021""",2021_5_3,Saltmarsh,Surface,115.9463899,-31.91713463,3.2,7.7,54.2,141,45.4,22,36.7,81.7
"""2021""",2021_5_4,Saltmarsh,Surface,115.9470037,-31.91710363,4.6,5,56.2,58,50.5,16,26.8,21.9
"""2021""",2021_5_5,Saltmarsh,Surface,115.9473019,-31.91692568,12.8,16,66.9,140,337.9,50,91.5,164.8
"""2021""",2021_5_6,Saltmarsh,Surface,115.9477463,-31.91691132,7,13.4,52.2,155,375.4,19,72.3,172.7
"""2021""",2021_6_1,Saltmarsh,Surface,115.9457726,-31.91747232,22.1,9.5,53.5,282,55.9,20,629.7,295.9
"""2021""",2021_6_2,Saltmarsh,Surface,115.9461616,-31.91767401,8.3,16.1,66.6,144,97.6,33,54.6,133.9
"""2021""",2021_6_3,Saltmarsh,Surface,115.9468406,-31.91749922,5,12.6,56.4,170,113.4,28,137.9,208.7
"""2021""",2021_3_1,Lake_Sed,Surface,115.946293,-31.91728719,NA,3.3,21.2,38,2014.2,6,15.3,65.2
"""2021""",2021_3_2,Lake_Sed,Surface,115.9464516,-31.9172885,6.7,6.6,79,132,3330.7,22,36.8,133.2
"""2021""",2021_3_3,Lake_Sed,Surface,115.9465785,-31.91728956,3.8,4.6,30.4,105,1447.7,14,34.7,109.3
"""2021""",2021_3_4,Lake_Sed,Surface,115.9466644,-31.91718201,NA,9,65.2,62,105.8,25,31.6,124.5
"""2021""",2021_3_5,Lake_Sed,Surface,115.9467502,-31.91707447,4.1,6.8,58.2,36,64.1,21,28.7,50.9
"""2021""",2021_4_1,Lake_Sed,Surface,115.946836,-31.91696693,13.9,7.6,47.7,204,53.2,19,108.1,191.2
"""2021""",2021_4_2,Lake_Sed,Surface,115.9469219,-31.91685938,20.1,13.3,38,312,72.2,20,120.9,342.8
"""2021""",2021_4_3,Lake_Sed,Surface,115.9470077,-31.91675184,6.2,5.7,49,153,39.3,18,53.9,113.1
"""2021""",2021_4_4,Lake_Sed,Surface,115.9470936,-31.91664429,13.6,5.8,39.6,271,37.9,19,101.5,216
"""2021""",2021_4_5,Lake_Sed,Surface,115.9442673,-31.91869573,8.9,9.9,27.1,139,59.3,8,42.4,341
"""2021""",2021_7_1,Saltmarsh,Surface,115.94775,-31.91751577,4.7,10.1,54.7,74,128.2,20,36,50.1
"""2021""",2021_7_2,Saltmarsh,Surface,115.9482779,-31.91759232,4.2,5.1,54.7,64,46.9,17,26.2,25
"""2021""",2021_7_3,Saltmarsh,Surface,115.9450881,-31.91813421,26.1,9.6,33.8,416,160.7,12,690.1,343.3
"""2021""",2021_7_4,Saltmarsh,Surface,115.9454621,-31.91780353,21.6,5,25.7,405,78.8,7,284,141.1
"""2021""",2021_7_5,Saltmarsh,Surface,115.9461901,-31.91796293,0.6,5,21.8,11,76.3,7,8.9,12.6
"""2021""",2021_8_1,Saltmarsh,Surface,115.9466114,-31.91811978,3.2,7.3,46,19,62.7,12,16.1,13.2
"""2021""",2021_8_2,Saltmarsh,Surface,115.9472157,-31.91798947,1.9,7.7,30.3,15,85.4,10,11.7,17.8
"""2021""",2021_8_3,Saltmarsh,Surface,115.94804,-31.91805043,0.9,15.5,65.1,59,212.9,25,33,53.5
"""2021""",2021_8_4,Saltmarsh,Surface,115.9483711,-31.91777351,4.7,8.8,61.3,52,126,22,35.6,82.5
"""2021""",2021_9_1,Saltmarsh,Surface,115.9462272,-31.9184143,5.2,11.9,49.3,47,202.8,17,21.8,59.7
"""2021""",2021_9_2,Saltmarsh,Surface,115.9468389,-31.91857273,5.9,4.4,26.5,13,55.1,6,9.3,13
"""2021""",2021_9_3,Saltmarsh,Surface,115.9472332,-31.91831438,1.8,12,66.8,41,119.6,27,26.8,47.3
"""2021""",2021_9_4,Saltmarsh,Surface,115.9476008,-31.91854296,3.6,8.8,60.9,28,39.3,27,21.3,17.3
"""2021""",2021_9_5,Saltmarsh,Surface,115.944892,-31.91863777,5.2,7.6,54.1,32,46.8,23,25.5,23.5
"""2021""",2021_10_1,Saltmarsh,Surface,115.9454088,-31.91876836,9.9,10.1,71.7,262,65.8,24,230.5,258
"""2021""",2021_10_2,Saltmarsh,Surface,115.9458225,-31.91866354,4.7,10.4,77.5,162,84,24,60.6,131.5
"""2021""",2021_10_3,Saltmarsh,Surface,115.9458225,-31.91866354,7.7,18.5,71.5,148,175.9,28,48.9,310.5
"""2021""",2021_10_4,Saltmarsh,Surface,115.9460656,-31.91867457,5.6,14.4,77.3,260,99.6,26,61.9,239.2
"""2021""",2021_10_5,Saltmarsh,Surface,115.9467923,-31.91895124,9.8,11.8,48.4,88,64.8,16,38.3,195.4
"""2021""",2021_10_6,Saltmarsh,Surface,115.9472902,-31.91888319,9.7,10.8,79,239,73.6,25,253.3,184.1
"""2021""",2021_10_7,Saltmarsh,Surface,115.9442843,-31.91905672,2.3,16.1,72.7,274,110.5,26,91.8,365.5
"""2021""",2021_1_1,Saltmarsh,Surface,115.9445347,-31.91936552,6.8,12.9,62.3,38,231.1,23,37.4,57.6
"""2021""",2021_1_2,Saltmarsh,Surface,115.9451794,-31.91940696,0.9,8.1,58,31,87.6,19,27,40.6
"""2021""",2021_1_3,Saltmarsh,Surface,115.9455279,-31.91945496,3.3,8.7,61.2,33,154.8,17,31.5,45.5
"""2021""",2021_1_4,Saltmarsh,Surface,115.9461098,-31.91944175,3,8.8,52.4,32,146.9,18,28,42.6
"""2021""",2021_1_5,Saltmarsh,Surface,115.9469669,-31.91940375,1.3,7.2,59.6,40,80.9,20,22,24.4
"""2021""",2021_2_1,Saltmarsh,Surface,115.9438228,-31.91964829,2.9,16.9,62.4,80,556.2,22,47.7,112
"""2021""",2021_2_2,Saltmarsh,Surface,115.9451124,-31.91971313,1.6,7.3,56.3,30,136.7,14,24.7,17.6
"""2021""",2021_2_3,Saltmarsh,Surface,115.9457266,-31.91965508,NA,6.1,54.4,28,78.3,14,24.8,21.7
"""2021""",2021_2_4,Saltmarsh,Surface,115.9462951,-31.91988533,NA,9.2,58.5,30,171.9,17,29,27.3
"""2021""",2021_2_5,Saltmarsh,Surface,115.946763,-31.91966367,2.8,9.4,56.9,25,57.9,28,22,21.4
"""2021""",2021_11_1,Lake_Sed,Surface,115.9443422,-31.91880461,7.3,17.1,71.4,654,74.3,31,72.9,322.8
"""2021""",2021_11_2,Lake_Sed,Surface,115.9444171,-31.91891348,4.7,14.6,73.4,221,83.5,26,71.2,335.1
"""2021""",2021_11_3,Lake_Sed,Surface,115.9444921,-31.91901334,NA,14,81.5,141,140.2,29,69.1,283.4
